compound_dir,reduced_formula,n_sites,icohp_per_atom,delta_icohp_per_atom_vs_most_bonding,compound_id,mp_id,family,theoretical,energy_above_hull_eV_per_atom
/home/gilles/viability/mp_dataset/structures/extension_CaO_mp-2605,CaO,2,-3.67235,0.0,extension_CaO_mp-2605,mp-2605,extension,False,0.0
/home/gilles/viability/mp_dataset/structures/extension_CaO_exp_mp-1079707,CaO,8,-2.412124999999999,1.2602250000000006,extension_CaO_exp_mp-1079707,mp-1079707,extension,False,0.20976985500000023
/home/gilles/viability/mp_dataset/structures/extension_CaO_theo_mp-1181903,CaO,8,-1.6277199999999996,2.04463,extension_CaO_theo_mp-1181903,mp-1181903,extension,True,2.7281320512499994
/home/gilles/viability/mp_dataset/structures/extension_CsN3_theo_mp-1225892,CsN3,4,-10.896702500000004,0.0,extension_CsN3_theo_mp-1225892,mp-1225892,extension,True,0.011297812499998727
/home/gilles/viability/mp_dataset/structures/extension_CsN3_exp_mp-510557,CsN3,8,-10.2728025,0.6239000000000043,extension_CsN3_exp_mp-510557,mp-510557,extension,False,0.0
/home/gilles/viability/mp_dataset/structures/extension_CsO2_theo_mp-1096936,CsO2,3,-7.077663333333338,0.0,extension_CsO2_theo_mp-1096936,mp-1096936,extension,True,0.0940473483333335
/home/gilles/viability/mp_dataset/structures/extension_CsO2_exp_mp-1441,CsO2,3,-6.36996,0.7077033333333382,extension_CsO2_exp_mp-1441,mp-1441,extension,False,0.03485998833333248
/home/gilles/viability/mp_dataset/structures/extension_CsP7_theo_mp-1213206,CsP7,32,-6.735239687500006,0.0,extension_CsP7_theo_mp-1213206,mp-1213206,extension,True,8.425187500016307e-05
/home/gilles/viability/mp_dataset/structures/extension_CsP7_exp_mp-1201790,CsP7,32,-6.704127500000006,0.031112187500000665,extension_CsP7_exp_mp-1201790,mp-1201790,extension,False,0.0
/home/gilles/viability/mp_dataset/structures/extension_K2O_exp_mp-971,K2O,6,-3.197963333333331,0.0,extension_K2O_exp_mp-971,mp-971,extension,False,0.0
