compound_id,mp_id,formula,theoretical,energy_above_hull_eV_per_atom,formation_energy_per_atom_eV,delta_energy_per_atom_eV,delta_icohp_per_atom_eV,bonding_label,viability_label,warnings
extension_LiP5_theo_mp-32760,mp-32760,LiP5,True,0.09630660601190577,-0.1504408054365065,0.1504408054365065,0.8692157738095242,endobondic,stable_on_hull,
extension_LiRh3_mp-1001787,mp-1001787,LiRh3,False,0.0,-0.146932781666667,0.146932781666667,-1.9151016666666623,exobondic,stable_on_hull,
extension_LiS4_mp-1143546,mp-1143546,LiS4,True,0.21230688803125108,-0.24543709558333263,0.24543709558333263,-0.08966283333333039,exobondic,stable_on_hull,
extension_Mg15Ni_mp-1023622,mp-1023622,Mg15Ni,True,0.07608314989583365,0.0473893378125001,-0.0473893378125001,-0.28083999999999976,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_Mg2Ge_mp-250,mp-250,Mg2Ge,False,0.4831721600000005,0.13927543333333267,-0.13927543333333267,-1.3452699999999982,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_Mg3Al_mp-978271,mp-978271,Mg3Al,True,0.027507425520833628,0.02186951125000025,-0.02186951125000025,-2.984377499999999,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_Mg3Ru2_mp-625,mp-625,Mg3Ru2,False,0.0,-0.1251691264999991,0.1251691264999991,-1.9276304999999998,exobondic,stable_on_hull,
extension_Mg3Zr_mp-1094466,mp-1094466,Mg3Zr,True,0.06476887374999984,0.06476887374999984,-0.06476887374999984,-1.6946962500000022,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_Mg5Sc_mp-1185837,mp-1185837,Mg5Sc,True,0.0599288583333335,0.0489273033333338,-0.0489273033333338,-0.47050583333333296,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_Mg5Te_mp-1185828,mp-1185828,Mg5Te,True,0.22432475583333433,-0.13286517861111088,0.13286517861111088,-0.1671361111111108,exobondic,stable_on_hull,
extension_MgAl2_mp-1102064,mp-1102064,MgAl2,False,0.04160550583333311,0.02971320249999998,-0.02971320249999998,-6.896271666666661,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_MgCd_mp-11307,mp-11307,MgCd,False,0.0,-0.09463182833333228,0.09463182833333228,-2.136527499999997,exobondic,stable_on_hull,
extension_MgCl2_exp_mp-23210,mp-23210,MgCl2,False,0.0,-2.255453941666667,2.255453941666667,0.15684222222221797,endobondic,stable_on_hull,
extension_MgCl2_theo_mp-569626,mp-569626,MgCl2,True,0.19913082333333376,-2.0563231183333333,2.0563231183333333,-0.08623500000000088,exobondic,stable_on_hull,
extension_MgF2_exp_mp-1072956,mp-1072956,MgF2,False,0.0024727899999996694,-3.814811965,3.814811965,0.0014516666666709217,endobondic,stable_on_hull,
extension_MgF2_theo_mp-1062842,mp-1062842,MgF2,True,0.26364889999999974,-3.553635855,3.553635855,0.02290000000000288,endobondic,stable_on_hull,
extension_MgIn2_mp-1077016,mp-1077016,MgIn2,False,0.1897874227777776,0.1391122588888901,-0.1391122588888901,-4.701525000000004,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_MgO_exp_mp-549706,mp-549706,MgO,False,0.11804199249999936,-2.9202671775000004,2.9202671775000004,-1.417906875000004,exobondic,stable_on_hull,
extension_MgO_theo_mp-1009127,mp-1009127,MgO,True,0.7484379050000003,-2.2898712649999995,2.2898712649999995,-1.0763218749999997,exobondic,stable_on_hull,
extension_MgPb2_mp-2016042,mp-2016042,MgPb2,True,0.03419048000000657,-0.04980135166666836,0.04980135166666836,-2.725271666666668,exobondic,stable_on_hull,
extension_MgS_exp_mp-1315,mp-1315,MgS,False,0.0,-1.661984376249999,1.661984376249999,-0.3400615624999981,exobondic,stable_on_hull,
extension_MgS_theo_mp-13032,mp-13032,MgS,True,0.034344234999999834,-1.6276401412499992,1.6276401412499992,-0.41632156249999763,exobondic,stable_on_hull,
extension_MgTi_mp-1094346,mp-1094346,MgTi,True,0.12570916333333226,0.12570916333333315,-0.12570916333333315,-1.59935916666667,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_MgTl3_mp-978262,mp-978262,MgTl3,True,0.051357820833329626,0.04286348374999527,-0.04286348374999527,-2.186008750000001,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_Mn2O7_mp-28338,mp-28338,Mn2O7,False,0.3346113968981488,-0.8804072191235627,0.8804072191235627,-1.468709990421448,exobondic,stable_on_hull,
extension_Mn4B_mp-1221769,mp-1221769,Mn4B,True,0.10306404682758696,-0.1082091105689642,0.1082091105689642,1.2987417011494216,endobondic,stable_on_hull,
extension_Mn4Ga_mp-1221812,mp-1221812,Mn4Ga,True,0.1642719892413762,0.05521550034482629,-0.05521550034482629,5.275693534482758,endobondic,metastable_viable,
extension_MnO2_mp-510408,mp-510408,MnO2,False,0.04644304472222238,-1.7760848793103463,1.7760848793103463,-0.527407902298858,exobondic,stable_on_hull,
extension_Mo2C_mp-1221498,mp-1221498,Mo2C,True,0.06276392999999914,-0.07628568666666762,0.07628568666666762,-4.995275000000004,exobondic,stable_on_hull,
extension_MoPd2_mp-1206704,mp-1206704,MoPd2,True,0.0,-0.07804413333333571,0.07804413333333571,-5.539973333333331,exobondic,stable_on_hull,
extension_MoRu_mp-1221386,mp-1221386,MoRu,True,0.09995914916666493,0.0654167566666608,-0.0654167566666608,-2.280124999999993,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_N2O_mp-1180473,mp-1180473,N2O,False,0.2568286241666655,-0.08601432833333433,0.08601432833333433,3.638294583333341,endobondic,stable_on_hull,
extension_NO_mp-1180334,mp-1180334,NO,True,0.6216735074999997,0.10740907874999994,-0.10740907874999994,2.1371243750000115,endobondic,metastable_viable,
extension_Na2Cl_theo_mp-1077015,mp-1077015,Na2Cl,True,0.23910790120689684,-1.1609046559195402,1.1609046559195402,-0.3965083333333337,exobondic,stable_on_hull,
extension_Na2O_exp_mp-2352,mp-2352,Na2O,False,0.0,-1.4257386859195398,1.4257386859195398,-1.305681250000001,exobondic,stable_on_hull,
extension_Na2O_theo_mp-1975297,mp-1975297,Na2O,True,0.09812461166666742,-1.3276140742528726,1.3276140742528726,-1.5618695833333325,exobondic,stable_on_hull,
extension_Na3Hg_mp-1186050,mp-1186050,Na3Hg,True,0.021215371458335852,-0.13042292937500122,0.13042292937500122,-1.0242433333333347,exobondic,stable_on_hull,
extension_Na3In_mp-864758,mp-864758,Na3In,True,0.040365352500000284,-0.09150885249999874,0.09150885249999874,-2.4503750000000015,exobondic,stable_on_hull,
extension_Na3Mg_mp-982637,mp-982637,Na3Mg,True,0.09973374989585748,0.09973374989585748,-0.09973374989585748,-0.07716250000000002,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
