bond_type_group,formula,compound_id,mp_id,spacegroup_symbol,theoretical,antibond_w_raw,pct_vs_ground_state_icohp,delta_icohp_antibond,icobi_antibond_w_raw,pct_vs_ground_state_icobi,delta_icobi_antibond,dH_eV_at
ionic,Na2O,extension_Na2O_theo_mp-1975297,mp-1975297,C2/m,True,1.877625e-05,,0.0148636735666666,0.0,,0.0035643745833333,0.0981246116666674
ionic,NaS,extension_NaS_exp_mp-409,mp-409,P-62m,False,0.0161731236,0.0,0.003352935625,0.0,,0.001595181125,0.0
ionic,NaS,extension_NaS_theo_mp-1180106,mp-1180106,C2/m,True,0.0,-100.0,0.019526059225,0.0,,0.001595181125,1.00377853125
ionic,PbSe,exp_stable_PbSe_mp-2201,mp-2201,Fm-3m,False,0.0208756436,0.0,-0.002590031025,0.0002412968,0.0,-0.0002412968,0.0
ionic,PbSe,exp_metastable_PbSe_mp-22009,mp-22009,Fmm2,False,0.0246552428999999,18.105306702974648,-0.0063696303249999,0.0,-100.0,0.0,0.0731088299999953
ionic,Rb2O,extension_Rb2O_exp_mp-1394,mp-1394,Fm-3m,False,0.0064349174,0.0,0.0101622282499999,0.0,,0.0024093500166666,0.0
ionic,Rb2O,extension_Rb2O_theo_mp-2023482,mp-2023482,P-3m1,True,0.0117725223,82.94752781131268,0.00482462335,0.0,,0.0024093500166666,0.044683842222220396
ionic,RbF,extension_RbF_theo_mp-11718,mp-11718,Fm-3m,True,0.00636196025,0.0,0.0191038535,0.0,,0.0007289127,0.0
ionic,RbF,extension_RbF_exp_mp-2064,mp-2064,Pm-3m,False,0.00635152185,-0.164075215653853,0.0191142919,3.879860000000002e-05,,0.0006901141,0.051583325000001
ionic,SiO2,extension_SiO2_anchor_mp-9258,mp-9258,Pa-3,False,0.0056542875999999,0.0,0.0143554218333334,0.0,,0.0028749328333333,0.0
ionic,SiO2,extension_SiO2_poly_mp-10064,mp-10064,Fm-3m,True,0.00324804195,-42.556124134894425,0.0167616674833333,0.0,,0.0028749328333333,0.7008995075
ionic,SrF2,extension_SrF2_theo_mp-1102911,mp-1102911,Pnma,True,0.01535342165,0.0,0.0405225609166666,0.0,,0.0016992140166666,0.0
ionic,SrF2,extension_SrF2_exp_mp-1102240,mp-1102240,Pnma,False,0.0161555253,5.22426640969637,0.0397204572666666,0.0,,0.0016992140166666,0.037913621666667195
covalent,As4S3,extension_As4S3_mp-27543,mp-27543,Pnma,False,0.00585430345,0.0,0.0091834983357142,0.0,,0.0,0.0
covalent,As4S3,extension_As4S3_mp-557321,mp-557321,Pnma,False,0.00428030305,-26.886211373276186,0.0107574987357142,0.0,,0.0,0.0004847885714288
covalent,Be3P2,extension_Be3P2_exp_mp-567841,mp-567841,Ia-3,False,0.0,,0.00360401198,0.0,,0.0,0.0
covalent,Be3P2,extension_Be3P2_mp-1084771,mp-1084771,Pn-3m,True,0.0,,0.00360401198,7.510349999999999e-06,,-7.510349999999999e-06,0.1567252367499998
covalent,BeCl2,extension_BeCl2_exp_mp-23267,mp-23267,Ibam,False,0.00086134215,0.0,0.0503110416833332,0.0,,5.840333333333336e-06,0.0
covalent,BeCl2,theo_metastable_BeCl2_mp-1190080,mp-1190080,I-43m,True,0.0012925653,50.064094738658724,0.0498798185333332,0.0,,5.840333333333336e-06,0.0099969172222218
covalent,C,metastable_covalent_C_rhombohedral_mp-169,mp-169,R-3m,False,0.0,,,0.0,,,0.0
covalent,C,extension_Cdiamond_mp-66,mp-66,Fd-3m,False,0.0,,,0.0,,,0.1114742750000009
covalent,C,extension_Clonsdaleite_mp-47,mp-47,P6_3/mmc,False,8.2602e-06,,,0.0,,,0.13868659250000098
covalent,C,extension_CWcarbon_mp-1190171,mp-1190171,Pnma,True,0.0,,,0.0,,,0.2918794818749984
covalent,C,extension_CMcarbon_mp-1080826,mp-1080826,C2/m,True,0.0,,,0.0,,,0.3001248749999981
covalent,C3N4,extension_C3N4_mp-971683,mp-971683,P3_1,True,0.00338797325,0.0,,0.0,,,0.0
covalent,C3N4,extension_C3N4_mp-570572,mp-570572,R3m,False,0.0048310071,42.59283481650864,,0.0,,,0.02559116285714319
covalent,C3N4,extension_C3N4_mp-567885,mp-567885,P-6m2,True,0.00538545195,58.9579241807768,,0.0,,,0.02587962571428551
covalent,C3N4,extension_C3N4_anchor_mp-571653,mp-571653,P-43m,False,0.00319699055,-5.637078155797138,,0.0,,,0.37644170285714296
covalent,C3N4,extension_C3N4_poly_mp-2852,mp-2852,I-43d,True,0.0023476546,-30.706223846365972,,0.0,,,0.3816659721428568
covalent,C3N4,extension_C3N4_poly_mp-1182484,mp-1182484,P6_3/m,True,0.0,-100.0,,0.0,,,0.4631399657142854
covalent,C3N4,extension_C3N4_poly_mp-563,mp-563,Fd-3m,True,0.001774219,-47.631847447437785,,0.0,,,1.3902031092857146
covalent,TiO2,extension_TiO2II_mp-1439,mp-1439,Pbcn,False,0.0013103879,0.0,0.0186983203333333,0.0,,0.0028749328333333,0.0
covalent,TiO2,extension_TiO2OII_mp-9173,mp-9173,Pnma,False,0.0021574491999999,64.6420269906262,0.0178512590333334,0.0,,0.0028749328333333,0.0529761891666691
mixed,CaN6,extension_CaN6_mp-676,mp-676,Fddd,False,0.0001128853,0.0,,0.0,,,0.0
mixed,CaN6,extension_CaN6_mp-656097,mp-656097,C2,True,0.00015018,33.03769401330378,,0.0,,,0.038592931428572896
mixed,CsN3,extension_CsN3_exp_mp-510557,mp-510557,I4/mcm,False,0.0,,,0.0,,,0.0
mixed,CsN3,extension_CsN3_mp-1225892,mp-1225892,P4/mmm,True,0.0,,,0.0,,,0.0112978124999987
mixed,CsP7,extension_CsP7_exp_mp-1201790,mp-1201790,Pbcm,False,0.00285255415,0.0,0.0076388735125,0.0,,0.00048189810625,0.0
mixed,CsP7,extension_CsP7_mp-1213206,mp-1213206,Pca2_1,True,0.0028593406,0.23790784129373607,0.0076320870625,0.0,,0.00048189810625,8.425187500016307e-05
mixed,HN,extension_HN_mp-720515,mp-720515,P2_1/c,False,0.0,,,0.0,,,0.0
mixed,HN,extension_HN_mp-23922,mp-23922,Pmna,False,0.0,,,0.0,,,0.020310608541665304
mixed,HN,extension_HN_mp-1224501,mp-1224501,P-1,True,0.0047072898499999,,,0.0,,,0.0445415728124994
mixed,LiP5,extension_LiP5_exp_mp-2412,mp-2412,Pna2_1,False,0.00088584045,0.0,0.0066225178416666,0.0,,0.0,0.0
mixed,LiP5,extension_LiP5_mp-32760,mp-32760,Pna2_1,True,0.00228884455,158.38112833975916,0.0052195137416666,0.0,,0.0,0.0886116673214303
mixed,NaN3,extension_NaN3_exp_mp-22003,mp-22003,R-3m,False,6.658915e-05,0.0,,0.0,,,0.0
mixed,NaN3,exp_metastable_NaN3_mp-1066400,mp-1066400,R3m,False,0.0,-100.0,,0.0,,,0.0012109449999995001
mixed,NaN3,extension_NaN3_mp-634410,mp-634410,C2,True,0.0,-100.0,,0.0,,,0.26785120500000037
mixed,NaN3,extension_NaN3_theo_mp-1065265,mp-1065265,C2/m,True,0.0001421917,113.53583879656068,,0.00080383435,,,1.0145095149999994
mixed,PbN6,extension_PbN6_mp-667338,mp-667338,Pnma,False,0.00034467455,0.0,,0.0,,,0.0
mixed,PbN6,extension_PbN6_mp-620058,mp-620058,Pna2_1,False,0.0003594486,4.286376815462576,,0.0,,,0.00031472261904860743
mixed,RbN3,extension_RbN3_exp_mp-581833,mp-581833,P4/mmm,False,0.0,,,0.0,,,0.0
mixed,RbN3,extension_RbN3_theo_mp-1219567,mp-1219567,Amm2,True,0.0067419127,,,0.0,,,0.7772678524999996
mixed,Sr3P4,extension_Sr3P4_exp_mp-14288,mp-14288,Fdd2,False,0.02267528065,0.0,0.0191346224499999,0.0,,0.0021847037357142,0.0
mixed,Sr3P4,extension_Sr3P4_theo_mp-682953,mp-682953,P1,True,0.02305164565,1.6598030507728248,0.0187582574499999,0.0,,0.0021847037357142,0.0081151678571433
mixed,SrO2,exp_stable_SrO2_mp-2697,mp-2697,I4/mmm,False,0.02269857605,0.0,0.02582448795,0.0,,0.0045741468499999,0.0
mixed,SrO2,extension_SrO2_exp_mp-726705,mp-726705,Pnma,False,0.0342976589,51.10048676379416,0.0142254050999999,0.0,,0.0045741468499999,0.0096023608333313
mixed,SrO2,extension_SrO2_theo_mp-2763179,mp-2763179,Pnma,True,0.0339365081499999,49.50941449034157,0.0145865558500001,0.0,,0.0045741468499999,0.0110303724999996
metallic,AgN,extension_AgN_anchor_mp-1091417,mp-1091417,Cmce,False,0.0026465435,0.0,,0.00015068995,0.0,,0.0
metallic,AgN,extension_AgN_poly_mp-1009766,mp-1009766,F-43m,True,0.0089436942,237.9386811514717,,0.0009346663499999,520.2579203191056,,0.02935988499999942
metallic,AgN,extension_AgN_poly_mp-1428312,mp-1428312,Pm-3m,True,0.00197819645,-25.253582644683526,,0.0001622033,7.640423266448764,,0.1317286250000007
metallic,AgN,extension_AgN_poly_mp-1424734,mp-1424734,Ama2,True,0.0038225001,44.433677360678175,,0.0001692102,12.290302040713405,,0.3994889100000003
metallic,Bi2O3,extension_Bi2O3_anchor_mp-558953,mp-558953,P2_1/c,False,0.00680250235,0.0,,0.00015168985,0.0,,0.0
metallic,Bi2O3,extension_Bi2O3_poly_mp-1383505,mp-1383505,P1,True,0.0120461075,77.08347428942822,,0.0,-100.0,,0.3067581394999994
metallic,CsO2,extension_CsO2_exp_mp-1441,mp-1441,I4/mmm,False,0.0311936797499999,0.0,-0.0042312342999999,0.0041054499999999,0.0,5.4544450000098936e-05,0.0
metallic,CsO2,extension_CsO2_theo_mp-1096936,mp-1096936,Cmmm,True,0.0295437135999999,-5.289424534788996,-0.0025812681499999,0.00227233955,-44.65065827132093,0.0018876548999999,0.059187360000001105
metallic,Cu2S,extension_Cu2S_mp-12087,mp-12087,Fm-3m,False,0.0162838463,0.0,-0.0003194873,2.428e-05,0.0,0.0007385015999999,0.0
metallic,Cu2S,extension_Cu2S_mp-553942,mp-553942,P6_3/mmc,False,0.0125878496,-22.697319981459184,0.0033765093999999,0.00016045325,560.8453459637561,0.0006023283499999,0.1441920566666663
metallic,KN2,extension_KN2_anchor_mp-1071868,mp-1071868,Cmc2_1,False,0.0046683345,0.0,,0.0,,,0.0
metallic,KN2,extension_KN2_poly_mp-1180757,mp-1180757,Cmcm,True,0.00988763105,111.80211165245333,,0.0,,,0.06638107333333321
metallic,KP,extension_KP_exp_mp-1058315,mp-1058315,R-3m,False,0.00225807465,0.0,0.005974988625,0.0021061035,0.0,-0.0010335127,0.0
metallic,KP,extension_KP_theo_mp-1057787,mp-1057787,Immm,True,0.00203527825,-9.866653434154626,0.006197785025,0.00106003725,-49.668321143761446,1.255354999999997e-05,0.0011893649999992206
metallic,MgSn,theo_metastable_MgSn_mp-1094801,mp-1094801,P4/mmm,True,0.01616673595,0.0,-0.011760217,0.0011201394999999,0.0,-0.0010984885499999,0.0
metallic,MgSn,theo_metastable_MgSn_mp-1094669,mp-1094669,Pm-3m,True,0.01782563995,10.261217880533263,-0.013419121,0.00170515325,52.226865493106175,-0.0016835023,0.034806230000001
metallic,Na2Cl,theo_metastable_Na2Cl_mp-990084,mp-990084,R-3m,True,0.0060323349999999,0.0,0.0244319526166667,0.0,,0.0021298283333333,0.0
metallic,Na2Cl,extension_Na2Cl_theo_mp-1077015,mp-1077015,Cmmm,True,0.0058736597499999,-2.6304117725557843,0.0245906278666667,5.206644999999999e-05,,0.0020777618833333,0.1285683083333335
metallic,NbO,extension_NbO_anchor_mp-2692,mp-2692,Fm-3m,False,0.0051960064,0.0,0.009810524775,8.08507e-05,0.0,0.0020753489249999,0.0
