compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,reaction_string,delta_icohp_total,delta_icohp_per_atom
extension_RuC_anchor_mp-10030,mp-10030,RuC,extension,,True,False,0.6494276712500024,RuC -> Ru + C,4.260265000000015,2.1301325000000073
extension_RuC_poly_mp-1009787,mp-1009787,RuC,extension,,True,True,0.9096720512499985,RuC -> Ru + C,5.720965000000028,2.860482500000014
extension_S4N2_cod4031496,,S2N,extension,covalent,,,,0.5 S2N -> S + 0.25 N2,23.441319999999877,0.9767216666666615
extension_S4N4_cod7017102,,SN,extension,covalent,,,,SN -> S + 0.5 N2,44.682990000001155,1.396343437500036
extension_SN_anchor_mp-236,mp-236,SN,extension,covalent,False,False,0.5086555859375004,SN -> S + 0.5 N2,18.543052499999988,2.3178815624999984
extension_SN_poly_mp-1078816,mp-1078816,SN,extension,,True,True,0.8090262296875004,SN -> S + 0.5 N2,29.665402500000063,3.708175312500008
extension_SN_poly_mp-1173453,mp-1173453,SN,extension,,True,True,0.7225484081597227,SN -> S + 0.5 N2,114.02186625000058,3.167274062500016
extension_SN_poly_mp-684642,mp-684642,SN,extension,,True,True,0.5498053901041668,SN -> S + 0.5 N2,62.50382624999992,1.7362173958333311
extension_SiO2_anchor_mp-9258,mp-9258,SiO2,extension,covalent,False,False,0.5770440263888901,SiO2 -> Si + O2,-39.9978600000004,-3.3331550000000334
extension_SiO2_poly_mp-10064,mp-10064,SiO2,extension,covalent,False,True,1.27794353388889,SiO2 -> Si + O2,-6.520467500000009,-2.17348916666667
extension_SiO2_poly_mp-556044,mp-556044,SiO2,extension,,True,True,1.4573660394444454,SiO2 -> Si + O2,-3.4497799999999756,-0.09582722222222155
extension_SiO2_poly_mp-638049,mp-638049,SiO2,extension,,True,True,1.7447606447222235,SiO2 -> Si + O2,-13.85662999999937,-0.3849063888888714
extension_Sr3P4_exp_mp-14288,mp-14288,Sr3P4,extension,,False,False,0.0,0.3333 Sr3P4 -> Sr + 1.333 P,14.660611904761929,1.047186564625852
extension_Sr3P4_theo_mp-682953,mp-682953,Sr3P4,extension,,False,True,0.00811516785714339,0.3333 Sr3P4 -> Sr + 1.333 P,15.110811904761931,1.079343707482995
extension_SrF2_exp_mp-1102240,mp-1102240,SrF2,extension,ionic,False,False,0.06457278833333291,SrF2 -> Sr + F2,6.505420000000004,0.5421183333333337
extension_SrF2_theo_mp-1102911,mp-1102911,SrF2,extension,ionic,False,True,0.02665916666666579,SrF2 -> Sr + F2,1.7766600000000032,0.14805500000000027
extension_SrN_exp_mp-1058586,mp-1058586,SrN,extension,,True,False,0.4343258274999986,SrN -> Sr + 0.5 N2,9.079050000000027,4.539525000000014
extension_SrO2_exp_mp-726705,mp-726705,SrO2,extension,ionic,False,False,0.009602360833331325,SrO2 -> Sr + O2,23.046230000000016,1.9205191666666679
extension_SrO2_theo_mp-2763179,mp-2763179,SrO2,extension,ionic,False,True,0.011030372499999608,SrO2 -> Sr + O2,21.026519999999962,1.752209999999997
extension_SrS_exp_mp-10627,mp-10627,SrS,extension,,False,False,0.2996298049999986,SrS -> Sr + S,0.21766812499999766,0.10883406249999883
extension_TaN_anchor_mp-1497,mp-1497,TaN,extension,,True,False,0.4515790083333364,TaN -> Ta + 0.5 N2,35.58515500000013,5.930859166666688
extension_TaN_poly_mp-1009831,mp-1009831,TaN,extension,,True,True,0.8162796533333321,TaN -> Ta + 0.5 N2,8.108095000000052,4.054047500000026
extension_TaN_poly_mp-1009833,mp-1009833,TaN,extension,,True,True,0.49169759333333474,TaN -> Ta + 0.5 N2,10.676905000000044,5.338452500000022
extension_TiO2II_mp-1439,mp-1439,TiO2,extension,,False,False,0.004523600833332253,TiO2 -> Ti + O2,7.753200000000064,0.6461000000000053
extension_TiO2OII_mp-9173,mp-9173,TiO2,extension,,False,False,0.05749979000000138,TiO2 -> Ti + O2,7.811000000000192,0.6509166666666827
extension_TiO2baddeleyite_mp-430,mp-430,TiO2,extension,,False,False,0.03948350083333452,TiO2 -> Ti + O2,7.519990000000064,0.6266658333333387
extension_TlC_anchor_mp-567465,mp-567465,TlC,extension,,True,False,2.10802690958333,TlC -> Tl + C,6.280745000000039,3.1403725000000193
extension_TlC_poly_mp-1058887,mp-1058887,TlC,extension,,True,True,2.375719474583331,TlC -> Tl + C,6.727645000000017,3.3638225000000084
extension_TlN_anchor_mp-1017982,mp-1017982,TlN,extension,,True,False,0.7334453533333338,TlN -> Tl + 0.5 N2,14.999240000000071,3.749810000000018
extension_TlN_poly_mp-1002222,mp-1002222,TlN,extension,,True,True,0.9711865358333327,TlN -> Tl + 0.5 N2,4.645635000000038,2.322817500000019
extension_TlN_poly_mp-1007778,mp-1007778,TlN,extension,,True,True,0.733738815833334,TlN -> Tl + 0.5 N2,6.389695000000035,3.1948475000000176
extension_WC_anchor_mp-13136,mp-13136,WC,extension,,True,False,0.4476605100000022,WC -> W + C,12.536875000000059,6.268437500000029
extension_WC_poly_mp-1008630,mp-1008630,WC,extension,,True,True,0.8989987500000005,WC -> W + C,11.880085000000008,5.940042500000004
extension_WC_poly_mp-1008635,mp-1008635,WC,extension,,True,True,0.6728768300000034,WC -> W + C,15.463095000000052,7.731547500000026
hull_ionic_NaCl_mp-22862,,NaCl,hull,ionic,,,0.0,NaCl -> Na + 0.5 Cl2,-0.7470949999999985,-0.37354749999999926
hull_metallic_AlNi_mp-1487,,AlNi,hull,metallic,,,0.0,AlNi -> Al + Ni,-6.039459999999995,-3.0197299999999974
metastable_ionic_LiBr_mp-23259,,LiBr,metastable,ionic,,,0.009895712500000542,LiBr -> Li + Br,-8.116458333333334,-4.058229166666667
metastable_metallic_BeCu_mp-2323,,BeCu,metastable,metallic,,,0.005036342500000401,BeCu -> Be + Cu,-10.074172499999978,-5.037086249999989
theo_metastable_Al4Si_mp-1228120,mp-1228120,Al4Si,theo_metastable,,,True,0.11491430399999913,0.25 Al4Si -> Al + 0.25 Si,-3.301565000000025,-0.660313000000005
theo_metastable_AlSb_mp-1023918,mp-1023918,AlSb,theo_metastable,,,True,0.18779470750000016,AlSb -> Al + Sb,16.665740000000035,4.166435000000009
