compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,formation_energy_per_atom,delta_icohp_antibond,delta_icobi_antibond
extension_Tc3Os_mp-862779,mp-862779,Tc3Os,extension,metallic,True,True,0.0,-0.06844598375000288,0.002095659925000099,-0.0001245938
extension_Tc3W_mp-1187398,mp-1187398,Tc3W,extension,metallic,True,True,0.10723927500000485,0.10723927500000485,0.00512114655,3.8797725000000005e-05
extension_Te2Pd7_mp-1217443,mp-1217443,Te2Pd7,extension,,True,True,0.11441960977299814,-0.13105697605137553,0.023706040250000004,0.0026058240111111117
extension_Ti2Cu_mp-742,mp-742,Ti2Cu,extension,metallic,True,False,0.0,-0.11303320444444627,0.002477258166666633,0.0003813907999999666
extension_Ti3Nb_mp-1217091,mp-1217091,Ti3Nb,extension,metallic,True,True,0.06679139250000077,0.06679139250000077,0.0,0.0
extension_TiMo2_mp-1216675,mp-1216675,TiMo2,extension,metallic,True,True,0.061337100370366215,-0.058206392222227045,0.002788144033333333,2.870243333333333e-05
extension_TiO2II_mp-1439,mp-1439,TiO2,extension,,False,False,0.004523600833332253,-3.5035318511111115,0.01869832033333333,0.002874932833333333
extension_TiO2OII_mp-9173,mp-9173,TiO2,extension,,False,False,0.05749979000000138,-3.4505556619444433,0.01785125903333343,0.002874932833333333
extension_TiO2baddeleyite_mp-430,mp-430,TiO2,extension,,False,False,0.03948350083333452,-3.46857195111111,0.01765878573333333,0.002874932833333333
extension_Tl3Au_mp-1080569,mp-1080569,Tl3Au,extension,metallic,True,True,0.06940479416666534,0.03507191666665932,1.063775e-06,0.0
extension_TlAs_mp-1007770,mp-1007770,TlAs,extension,,True,True,0.11668702583332902,0.11668702583332902,0.001257460975,-2.05246e-05
extension_TlAu3_mp-1187508,mp-1187508,TlAu3,extension,metallic,True,True,0.12302775499999541,0.1058613162499924,3.1913250000000003e-06,0.0
extension_TlC_anchor_mp-567465,mp-567465,TlC,extension,,True,False,2.10802690958333,2.10802690958333,0.0,-5.15662e-05
extension_TlC_poly_mp-1058887,mp-1058887,TlC,extension,,True,True,2.375719474583331,2.375719474583331,0.0,-1.90228e-05
extension_W9C4_mp-684989,mp-684989,W9C4,extension,,True,True,0.07193477384615221,-0.022551838461534038,0.0,4.505469230769232e-06
extension_WBr5_mp-1436789,mp-1436789,WBr5,extension,,True,True,0.9777983063888893,0.053990249166666615,0.006573687691666767,-0.00039706940833333335
extension_WC_anchor_mp-13136,mp-13136,WC,extension,,True,False,0.4476605100000022,0.29411976500000137,-0.0004330336,-4.6057449999999994e-05
