compound_id,mp_id,formula,bond_type,family,theoretical,energy_above_hull_eV_at,n_sites,sg_number,spacegroup_symbol,icohp_percolation_weight_min,icohp_percolation_weight_min_normalized,icohp_percolation_direction,icohp_sum,icohp_mean,icohp_min,icohp_max,icobi_percolation_weight_min,icobi_sum,icobi_mean,icobi_min,icobi_max,vasp_wall_time_s,lobster_wall_time_s,formation_energy_per_atom,dimensionality,dimensionality_theta05,dimensionality_theta20,mincut_icohp_a,mincut_icohp_b,mincut_icohp_c,mincut_icohp_min,mincut_icobi_a,mincut_icobi_b,mincut_icobi_c,mincut_icobi_min,mincut_icohp_min_normalized
exp_metastable_AgO_mp-1079720,mp-1079720,AgO,,exp_metastable,False,0.0423481174999995,8,14,P2_1/c,4e-05,1.0633999021672093e-05,c,-67.4211399999999,-0.2188998051948048,-3.76152,0.00069,0.00119,9.715780000000002,0.0315447402597402,0.00046,0.46989,123.56,711.16,-0.40022364833333235,3,3,3,22.81589,15.499409999999985,12.66814,12.66814,3.55965,2.6143799999999993,1.8983199999999998,1.8983199999999998,3.3678247091601268
exp_metastable_Al12W_mp-11227,mp-11227,Al12W,metallic,exp_metastable,False,0.0152036853846162,13,204,Im-3,0.01374,0.0049823948130876,a,-128.62916000000007,-0.3761086549707604,-2.75771,0.00433,0.0088799999999999,23.23949,0.0679517251461988,0.00222,0.50371,1.0,,-0.0721041215384599,3,3,3,31.11809,31.127389999999995,31.117889999999992,31.117889999999992,5.850349999999999,5.849609999999998,5.84983,5.849609999999998,11.283960242375011
exp_metastable_Al3Os2_mp-16521,mp-16521,Al3Os2,metallic,exp_metastable,False,0.0074096830000058,5,139,I4/mmm,0.00623,0.0033312123367144,b,-58.91713000000003,-0.3465713529411766,-1.87019,-0.00301,0.0019399999999999,11.291610000000007,0.0664212352941177,0.00094,0.33792,48.46,130.35,-0.5958528140000027,3,3,3,27.958699999999997,27.98294,9.99121,9.99121,5.58095,5.584079999999998,1.8521999999999994,1.8521999999999994,5.342350242488731
exp_metastable_AsPd2_mp-1080831,mp-1080831,AsPd2,,exp_metastable,False,0.0117567475000015,9,189,P-62m,0.00035,0.0001014995838517,a,-99.99055000000008,-0.3436101374570449,-3.44829,0.00723,0.00426,15.353000000000002,0.0527594501718213,0.00153,0.4557,112.36,431.16,-0.35935601750000185,3,3,3,36.070769999999996,22.530129999999996,22.4503,22.4503,5.90886,3.7139499999999988,3.7189999999999994,3.7139499999999988,6.510560306702742
exp_metastable_AsRh2_mp-1102364,mp-1102364,AsRh2,,exp_metastable,False,0.0806206316666617,12,62,Pnma,0.00463,0.0020131047466662,a,-82.21613,-0.2118972422680412,-2.29993,-0.00394,0.00624,19.11821,0.049273737113402,0.00308,0.38891,124.17,651.48,-0.44921435583333863,3,3,3,26.79890999999998,18.78514999999999,13.64335,13.64335,7.077869999999999,5.130239999999999,3.5450899999999983,3.5450899999999983,5.9320718456648684
exp_metastable_AsRh_mp-22079,mp-22079,AsRh,,exp_metastable,False,0.0269175908333352,8,62,Pnma,0.00193,0.0008130732060782,b,-59.496690000000015,-0.2399060080645162,-2.37371,-0.00138,0.00184,12.93703999999999,0.0521654838709677,0.00139,0.40823,92.9,258.52,-0.5242963187500003,3,3,3,22.50132,15.75766999999999,12.604820000000002,12.604820000000002,5.39178,3.7027499999999995,3.0376299999999996,3.0376299999999996,5.310176896082504
exp_metastable_BaSn5_mp-571353,mp-571353,BaSn5,metallic,exp_metastable,False,0.0262177941666705,6,191,P6/mmm,0.00458,0.0021300046971719,a,-29.39432999999999,-0.3499324999999998,-2.15023,0.00063,0.0097,7.521639999999998,0.0895433333333333,0.0097,0.61284,94.66,107.93,-0.2692301474999965,3,3,2,10.471870000000001,10.489299999999995,2.7064999999999992,2.7064999999999992,2.6952799999999986,2.6993899999999993,0.5048999999999999,0.5048999999999999,1.2587025574008357
exp_metastable_Be12Pd_mp-12666,mp-12666,Be12Pd,metallic,exp_metastable,False,0.0794515811538456,13,139,I4/mmm,5e-05,1.938593124197907e-05,a,-150.08709000000002,-0.1969646850393701,-2.57919,0.07072,0.00044,18.331069999999965,0.0240565223097112,0.00044,0.2595,226.85,992.01,-0.06609085384615444,3,3,3,49.32507,49.325029999999956,33.607609999999994,33.607609999999994,6.10528,6.10531,4.19446,4.19446,13.030296333344962
exp_metastable_Be3N2_mp-6977,mp-6977,Be3N2,,exp_metastable,False,0.0315138644999999,10,194,P6_3/mmc,2e-05,3.37936021952324e-06,a,-148.3104200000001,-0.184007965260546,-5.91828,0.08193,4e-05,15.100989999999994,0.0187357196029776,2e-05,0.57318,79.98,613.57,-1.1858389340000008,3,3,3,50.86773,50.87451,10.672070000000003,10.672070000000003,5.0694799999999995,5.06957,1.0983999999999987,1.0983999999999987,1.8032384408983697
exp_metastable_CaGa2_mp-992,mp-992,CaGa2,metallic,exp_metastable,False,0.0169816583333339,3,191,P6/mmm,0.01661,0.0042629968791064,c,-16.435129999999997,-0.2739188333333333,-3.89632,-0.00903,0.00064,3.866140000000001,0.0644356666666666,0.00064,0.9809,38.65,69.66,-0.5780275900000001,2,3,2,6.343419999999995,6.336679999999999,1.9321399999999989,1.9321399999999989,1.4771399999999986,1.4757599999999993,0.35990999999999995,0.35990999999999995,0.4958884280551903
exp_metastable_CaGa4_mp-2461,mp-2461,CaGa4,metallic,exp_metastable,False,0.0016006820000011,5,12,C2/m,0.0191399999999999,0.0047022290137848,a,-33.26476000000001,-0.3051812844036698,-4.07041,0.00108,0.0037,7.04159,0.064601743119266,0.00139,0.84476,101.41,200.25,-0.4217521700000006,3,3,3,9.703299999999999,9.70008,6.195930000000001,6.195930000000001,2.01098,2.01115,1.20708,1.20708,1.5221881825172405
exp_metastable_CdI2_mp-567259,mp-567259,CdI2,,exp_metastable,False,0.0005410511111105,3,164,P-3m1,0.02384,0.0095045589190956,b,-17.25635999999999,-0.479343333333333,-2.50827,-0.01185,0.00452,3.64378,0.1012161111111111,0.00225,0.48649,35.02,18.08,-0.8265425073333326,2,2,2,6.535739999999997,6.53146,0.03594,0.03594,1.464,1.46329,0.006789999999999999,0.006789999999999999,0.01432860098793192
exp_metastable_CdO2_mp-2310,mp-2310,CdO2,,exp_metastable,False,0.0562341900000005,12,205,Pa-3,9e-05,1.255526058443343e-05,a,-98.67521000000026,-0.2242618409090915,-7.16831,0.00216,9e-05,13.25085000000002,0.0301155681818182,9e-05,0.9738,128.3,392.34,-0.841200041666666,3,3,3,13.635729999999993,13.634749999999995,13.636339999999995,13.634749999999995,1.8640899999999996,1.8641099999999997,1.8640599999999998,1.8640599999999998,1.9020871028178183
exp_metastable_ClF3_mp-556767,mp-556767,ClF3,,exp_metastable,False,0.0029946146875001,16,62,Pnma,0.0,0.0,c,-65.33380000000021,-0.1306676000000004,-6.86126,0.03266,0.0,9.22311999999996,0.0184462399999999,0.0,0.76701,98.9,145.28,-0.9563266143749998,0,0,0,0.5172599999999998,0.6159399999999996,0.09019999999999999,0.09019999999999999,0.14889999999999998,0.15458,0.026040000000000004,0.026040000000000004,0.01314627342499774
exp_metastable_Cs2Se_mp-1011696,mp-1011696,Cs2Se,,exp_metastable,False,0.0042327591666642,12,62,Pnma,0.0262,0.0304927725146062,a,-34.07225000000002,-0.2839354166666668,-0.85922,-0.02499,0.00634,5.189279999999998,0.0432439999999999,0.0032,0.10205,192.19,39.1,-1.1927918180513661,3,3,3,13.216899999999999,7.6137500000000005,5.761150000000001,5.761150000000001,1.8822599999999987,1.1760199999999998,0.7885399999999997,0.7885399999999997,6.7050929913177075
exp_metastable_CsH_mp-632319,mp-632319,CsH,,exp_metastable,False,0.0160978499999995,2,221,Pm-3m,0.02662,0.0216118792267785,a,-9.796919999999991,-0.2226572727272725,-1.23173,-0.00549,0.01404,1.1167200000000013,0.02538,0.00225,0.09369,12.76,6.28,-0.23149970437499867,3,3,3,3.9143099999999986,3.9131799999999997,3.90685,3.90685,0.47985,0.47965,0.47884999999999994,0.47884999999999994,3.171839607706234
exp_metastable_Cu3Ge_mp-19724,mp-19724,Cu3Ge,metallic,exp_metastable,False,0.0126398462499999,8,59,Pmmn,0.00053,0.000523306904689,b,-32.029270000000004,-0.1082069932432432,-1.01279,0.00326,0.00072,6.621540000000008,0.0223700675675675,0.00036,0.17605,120.93,994.02,0.01263984624999992,3,3,3,9.33743999999999,9.691479999999999,9.327209999999997,9.327209999999997,2.055189999999999,2.2469500000000004,2.0989999999999998,2.055189999999999,9.209421499027435
exp_metastable_FeTe2_mp-1102002,mp-1102002,FeTe2,,exp_metastable,False,0.0449096983333356,12,205,Pa-3,0.00052,0.0002481721169081,a,-63.91213,-0.2219171180555555,-2.09532,0.00028,0.00069,18.05018,0.0626742361111111,0.00034,0.48885,162.21,251.61,-0.4170853777777766,3,3,3,11.48118,11.478289999999998,11.479119999999998,11.478289999999998,3.5766500000000008,3.57627,3.5764799999999988,3.57627,5.4780606303571755
exp_metastable_Ge4Rh_mp-1104286,mp-1104286,Ge4Rh,metallic,exp_metastable,False,0.0907375489999999,15,152,P3_121,0.00208,0.0005781455425812,a,-126.23488000000006,-0.3402557412398923,-3.59771,0.00846,0.00516,25.155179999999984,0.0678037196765498,0.00122,0.64664,210.85,1691.17,-0.1339630540000011,3,3,3,31.06313999999999,31.06286999999999,23.44028999999999,23.44028999999999,6.627039999999999,6.627009999999999,4.90011,4.90011,6.515336144380728
exp_metastable_GeSe2_mp-10074,mp-10074,GeSe2,covalent,exp_metastable,False,0.0124937554166688,6,122,I-42d,4e-05,8.049877038128242e-06,a,-41.31849,-0.3972931730769231,-4.96902,0.00119,5e-05,8.40343,0.0808022115384615,5e-05,0.90134,86.38,53.91,-0.566828659895832,3,3,3,5.528659999999999,5.5260500000000015,10.57065,5.5260500000000015,1.2728899999999999,1.2726299999999995,2.2561199999999997,1.2726299999999995,1.1121005751637145
exp_metastable_H2O_mp-2739191,mp-2739191,H2O,,exp_metastable,False,0.0494479991666665,12,20,C222_1,0.0,0.0,a,-76.69105000000008,-0.1114695494186047,-8.01825,0.00237,0.0,7.790029999999994,0.0113227180232558,0.0,0.69893,45.43,47.56,-1.230554994166667,3,3,1,3.6209899999999924,3.62125,4.8697399999999975,3.6209899999999924,0.5138999999999996,0.5141699999999995,0.5659899999999999,0.5138999999999996,0.4515935522090222
exp_metastable_H3N_mp-643432,mp-643432,H3N,covalent,exp_metastable,False,0.0038271875000006,16,19,P2_12_12_1,0.0,0.0,a,-102.10825999999996,-0.0993271011673151,-8.16313,0.00217,0.0,11.496849999999952,0.0111837062256808,0.0,0.89366,69.07,102.43,-0.3450917143750001,0,0,0,1.9732699999999999,1.1199799999999998,1.15703,1.1199799999999998,0.39112999999999987,0.20030999999999965,0.20740999999999976,0.20030999999999965,0.1371998240870842
exp_metastable_HI_mp-697025,mp-697025,HI,,exp_metastable,False,0.0043662910416673,16,15,C2/c,0.0,0.0,a,-44.56403,-0.1888306355932203,-5.15403,0.0001,0.0,8.510029999999997,0.0360594491525423,0.0,0.92656,102.88,19.92,-0.17565745749999984,0,0,0,0.34824000000000005,0.035189999999999985,0.37107999999999997,0.035189999999999985,0.10738000000000002,0.010769999999999995,0.11371,0.010769999999999995,0.006827666893673492
exp_metastable_IF7_mp-27988,mp-27988,IF7,,exp_metastable,False,0.0062520956249993,16,41,Aea2,0.0,0.0,a,-80.3580800000002,-0.1545347692307696,-6.12565,0.05651,1e-05,9.479359999999948,0.0182295384615383,0.0,0.56187,108.3,153.43,-1.685239713125,0,0,0,0.21372000000000002,0.21371999999999983,0.09817999999999988,0.09817999999999988,0.04282,0.04282,0.019260000000000006,0.019260000000000006,0.016027686857721202
