compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,delta_per_formula_unit_eV,delta_per_atom_eV,delta_per_bond_eV
extension_HN_mp-720515,mp-720515,HN,extension,mixed,False,False,0.14784463833333383,4.677971000000017,2.3389855000000086,-0.4082831053434274
extension_Hf3Pb_mp-1184772,mp-1184772,Hf3Pb,extension,metallic,True,True,0.0,-10.938789999999997,-2.7346974999999993,-0.009128367208672106
extension_HfCd_mp-1007758,mp-1007758,HfCd,extension,metallic,True,False,0.0,-1.8075900000000047,-0.9037950000000023,0.11316419999999994
extension_HfCr2_mp-569624,mp-569624,HfCr2,extension,metallic,True,False,0.10305479333333167,-3.8955625000000147,-1.2985208333333382,0.01758126474768998
extension_HfCu3_mp-1184704,mp-1184704,HfCu3,extension,metallic,True,True,0.07249532007622062,-6.306810000000009,-1.5767025000000023,-0.004209413978494669
extension_HfMg15_mp-1023478,mp-1023478,HfMg15,extension,metallic,True,True,0.07120114031250013,-7.080770000000004,-0.44254812500000024,-0.013056147488317769
extension_HfW2_mp-1224230,mp-1224230,HfW2,extension,metallic,True,True,0.2690691899999962,-21.856049999999982,-7.285349999999994,0.07255002252252274
extension_Hg3Pb_mp-1184700,mp-1184700,Hg3Pb,extension,metallic,True,True,0.06834607812499627,-5.828480000000038,-1.4571200000000095,-0.07358436748436797
extension_Hg3Sb_mp-977242,mp-977242,Hg3Sb,extension,metallic,True,True,0.12571606499999888,-2.320680000000017,-0.5801700000000043,-0.0652432836538464
extension_Hg5Pd2_mp-30721,mp-30721,Hg5Pd2,extension,metallic,True,False,0.03967810749999523,0.07639333333337106,0.010913333333338724,0.00672829683393833
extension_In2Te3_mp-1105025,mp-1105025,In2Te3,extension,metallic,True,False,0.30775990697777544,-11.833609999999997,-2.3667219999999993,0.282816517063206
extension_In7Cu10_mp-646039,mp-646039,In7Cu10,extension,metallic,True,False,0.0,-52.15031000000012,-3.067665294117654,0.06116640070400631
extension_InNi_mp-20997,mp-20997,InNi,extension,metallic,True,False,0.09218754000000118,-0.4473900000000057,-0.22369500000000286,0.06787007142857138
extension_InSn4_mp-1223653,mp-1223653,InSn4,extension,metallic,True,True,0.14784555200000327,-2.1226399999999828,-0.4245279999999966,0.38810344082883425
extension_Ir3Ru_mp-974358,mp-974358,Ir3Ru,extension,metallic,True,True,0.0,-47.585609999999974,-11.896402499999994,-0.04507499142857124
extension_Ir4W_mp-1223666,mp-1223666,Ir4W,extension,metallic,True,True,0.2319650820000021,-71.41394999999997,-14.282789999999995,0.5654534090294675
extension_IrPd_mp-1223675,mp-1223675,IrPd,extension,metallic,True,True,0.11000630500000597,-12.363360000000014,-6.181680000000007,-0.015596455026455236
extension_K2O_exp_mp-971,mp-971,K2O,extension,ionic,False,False,0.0,-1.3071137500000098,-0.4357045833333366,-0.07766042288961056
extension_K2O_theo_mp-1223784,mp-1223784,K2O,extension,metallic,True,True,0.19996455333333385,-4.691493750000004,-1.5638312500000013,-0.11122416098484858
extension_K2S_exp_mp-1022,mp-1022,K2S,extension,ionic,False,False,0.0,-1.0077531249999945,-0.3359177083333315,-0.2075126620811284
extension_K3Rb_mp-976115,mp-976115,K3Rb,extension,metallic,True,True,0.037403925187500686,-1.5061125000000004,-0.3765281250000001,0.002775317028985494
extension_KCl_exp_mp-23289,mp-23289,KCl,extension,ionic,False,False,0.07764382000000003,1.5232549999999954,0.7616274999999977,-0.022385686653771858
extension_KF3_exp_mp-1544557,mp-1544557,KF3,extension,ionic,False,False,0.01249103906249971,-4.604543749999992,-1.151135937499998,-0.027915401738533026
