element,compound_id,mp_id,spacegroup,nsites,campaign_energy_per_atom_eV,mp_energy_per_atom_eV,icohp_mean,icobi_mean,antibond_w_raw,antibond_w_normalized,mp_vs_campaign_diff_meV_per_atom
S,extension_S_mp-77,mp-77,Fddd,32,-4.1185984375,-8.0340372271875,-5.92461,0.9691653124999998,0.0317349749,0.0879743156931777,3915.4387896875
Sb,extension_Sb_mp-104,mp-104,R-3m,2,-4.1450014,-25.70631573,-1.720173333333333,0.4398433333333333,0.0118441101499999,0.0425038044570444,21561.31433
Sc,extension_Sc_mp-67,mp-67,P6_3/mmc,2,-6.2415555,-11.398487355,-0.6595716666666668,0.2109605555555555,0.0,0.0,5156.931855000001
Se,extension_Se_mp-14,mp-14,P3_121,3,-3.4990126666666668,-14.310479153333333,-4.149629999999999,0.9053233333333334,0.02084837815,0.0827940834359239,10811.466486666666
Si,hull_covalent_Si_mp-149,mp-149,,2,-5.422008,-8.773764595,-4.5418475,0.924265,3.0035999999999995e-06,1.0328393108902718e-05,3351.7565949999994
Sn,extension_Sn_mp-623511,mp-623511,I4/mmm,1,-3.7899378,-24.684776775,-0.8803349999999998,0.1988766666666667,0.0073309014,0.0234776666132906,20894.838975
Sr,extension_Sr_mp-139,mp-139,P6_3/mmc,2,-1.6304965,-15.14566107,-0.0171366666666666,0.0009333333333333,0.0855430673,4.904992391055046,13515.164569999999
Ta,extension_Ta_mp-50,mp-50,Im-3m,1,-11.816583,-48.5826828,-1.2794285714285714,0.3226371428571428,0.0,0.0,36766.099799999996
Tc,extension_Tc_mp-113,mp-113,P6_3/mmc,2,-10.349658,-25.96466205,-1.2061466666666667,0.3130083333333333,0.0068281954,0.0239855114514542,15615.004050000001
Te,extension_Te_mp-19,mp-19,P3_121,3,-3.138214233333333,-25.417224309999998,-1.1233211111111112,0.3171866666666666,0.0256433647,0.1196778116395202,22279.010076666666
Ti,extension_Ti_mp-46,mp-46,P6_3/mmc,2,-7.8002075,-12.92258741,-0.7536116666666667,0.3009961111111112,0.0,0.0,5122.379910000001
Tl,extension_Tl_mp-82,mp-82,P6_3/mmc,2,-2.20726455,-53.17930458,-1.0463244444444446,0.1905477777777778,0.0,0.0,50972.040030000004
V,extension_V_mp-146,mp-146,Im-3m,1,-8.9616275,-14.08957573,-0.8777328571428571,0.3178299999999999,0.0,0.0,5127.948229999999
W,extension_W_mp-91,mp-91,Im-3m,1,-12.999786,-51.36779438,-2.5600457142857143,0.4372042857142857,0.0,0.0,38368.00838
Y,extension_Y_mp-112,mp-112,P6_3/mmc,2,-6.417915,-20.31360096,-0.8681983333333334,0.237415,0.0,0.0,13895.685959999999
Zn,extension_Zn_mp-79,mp-79,P6_3/mmc,2,-1.08760625,-8.910602605,-1.8892361111111111,0.2295955555555555,0.0,0.0,7822.996354999999
Zr,extension_Zr_mp-131,mp-131,P6_3/mmc,2,-8.5227245,-22.749791905,-1.3169544444444448,0.3222927777777778,0.0,0.0,14227.067404999998
