kpoint_fail_frac,max_band_deviation,charge_spilling_pct,compound_id,delta_per_atom_eV,robust_z
0.065,0.604258,0.46,exp_metastable_AgO_mp-1079720,-4.6619193750000125,1.667751725900264
0.484375,9.62739,2.13,exp_metastable_Al12W_mp-11227,-9.919361538461526,4.1144067491259
0.07407407407407407,2.864,2.07,exp_metastable_Al3Os2_mp-16521,-4.279001999999991,1.4895535280132253
0.2109375,7.00297,1.24,exp_metastable_AsPd2_mp-1080831,-2.7380105555555474,0.7724225846619874
0.08333333333333333,8.73957,1.33,exp_metastable_AsRh2_mp-1102364,-2.241594166666669,0.5414053687375738
0.03125,7.13259,1.21,exp_metastable_AsRh_mp-22079,-1.0028012500000028,0.035091493817217295
0.48,9.40379,1.4,exp_metastable_BaSn5_mp-571353,-3.978703333333332,1.3498035852798187
0.05555555555555555,0.721191,3.77,exp_metastable_Be12Pd_mp-12666,-2.1177400000000044,0.48376737489934857
0.016666666666666666,9.55264,1.82,exp_metastable_Be3N2_mp-6977,2.2270895000000053,1.5381852383149328
0.3469387755102041,9.85256,1.21,exp_metastable_CaGa2_mp-992,-1.0110816666666669,0.031238037630348606
0.053061224489795916,4.16875,1.19,exp_metastable_CaGa4_mp-2461,-1.0770699999999978,0.00052905744482392
0.1326530612244898,4.36198,0.54,exp_metastable_CdI2_mp-567259,-0.2263366666666684,0.3964346934385534
,,0.39,exp_metastable_CdO2_mp-2310,-2.627934999999978,0.7211967408845512
,,1.21,exp_metastable_ClF3_mp-556767,0.6883662500000147,0.8221098442514727
,,1.8,exp_metastable_Cs2Se_mp-1011696,0.6733541666666687,0.815123673418843
0.15743440233236153,9.39611,3.12,exp_metastable_CsH_mp-632319,3.123319999999996,1.955263883522373
0.12222222222222222,0.138134,1.04,exp_metastable_Cu3Ge_mp-19724,-1.1982574999999995,0.055867950150965226
,,2.36,exp_metastable_FeTe2_mp-1102002,0.9186697222222234,0.9292861344815073
,,0.79,exp_metastable_Ge4Rh_mp-1104286,-1.091833333333328,0.006341352639871175
0.008,2.62129,1.09,exp_metastable_GeSe2_mp-10074,0.7715466666666693,0.8608195015228097
,,1.2,exp_metastable_H2O_mp-2739191,1.6923995833333385,1.2893566768573448
,,1.48,exp_metastable_H3N_mp-643432,1.5822724999999984,1.2381068536061648
,,0.98,exp_metastable_HI_mp-697025,0.674919375,0.8158520741719228
,,1.16,exp_metastable_IF7_mp-27988,1.7140568750000145,1.299435327234898
,,1.47,exp_metastable_In3Ir_mp-630976,-8.030723749999998,3.235491681965032
