compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,formation_energy_per_atom,antibond_w_raw,antibond_w_normalized,antibond_e_ref,antibond_w_raw_dE0.5,antibond_w_raw_dE1.0,antibond_w_raw_dE2.0
extension_SiO2_anchor_mp-9258,mp-9258,SiO2,extension,covalent,False,False,0.5770440263888901,-2.6957873175000002,0.005654287599999999,0.026403397618491708,-0.28158999999999956,0.0030020111,0.005654287599999999,0.0071637116999999995
extension_SiO2_poly_mp-10064,mp-10064,SiO2,extension,covalent,False,True,1.27794353388889,-1.9948878100000005,0.00324804195,0.023960179625258184,-0.26926000000000094,0.00118022355,0.00324804195,0.007586508049999999
extension_SiO2_poly_mp-556044,mp-556044,SiO2,extension,,True,True,1.4573660394444454,-1.8154653044444444,0.0038248681499999998,0.011675065321571379,0.0,0.0038248681499999998,0.0038248681499999998,0.010279387249999999
extension_SiO2_poly_mp-638049,mp-638049,SiO2,extension,,True,True,1.7447606447222235,-1.5280706991666666,0.010865363899999998,0.04880238905856988,0.0,0.00782605235,0.010865363899999998,0.017722726249999998
extension_TaN_anchor_mp-1497,mp-1497,TaN,extension,,True,False,0.4515790083333364,-0.9071271397083317,0.00026007495,0.0009398827292110874,0.0,0.00026007495,0.00026007495,0.0005404389499999994
extension_TaN_poly_mp-1009831,mp-1009831,TaN,extension,,True,True,0.8162796533333321,-0.5424264947083373,5.556884999999999e-05,0.0001917026598130196,0.0,5.556884999999999e-05,5.556884999999999e-05,5.5568849999999986e-05
extension_TaN_poly_mp-1009833,mp-1009833,TaN,extension,,True,True,0.49169759333333474,-0.8670085547083346,0.0,0.0,0.0,0.0,0.0,0.0
extension_TlC_anchor_mp-567465,mp-567465,TlC,extension,,True,False,2.10802690958333,2.10802690958333,0.0,0.0,0.0,0.0,0.0,0.0
extension_TlC_poly_mp-1058887,mp-1058887,TlC,extension,,True,True,2.375719474583331,2.375719474583331,0.0,0.0,0.0,0.0,0.0,0.0
extension_TlN_anchor_mp-1017982,mp-1017982,TlN,extension,,True,False,0.7334453533333338,0.7334453533333338,0.0007987448,0.0022991416481966554,0.0,0.0007429192,0.0007987448,0.0007987448
extension_TlN_poly_mp-1002222,mp-1002222,TlN,extension,,True,True,0.9711865358333327,0.9711865358333327,0.0008373197999999999,0.002913531438115453,0.0,0.0008373197999999999,0.0008373197999999999,0.0008373197999999999
extension_TlN_poly_mp-1007778,mp-1007778,TlN,extension,,True,True,0.733738815833334,0.733738815833334,0.0005126361500000001,0.0016805538617886183,0.0,0.0005058767000000001,0.0005126361500000001,0.0005126361500000001
extension_WC_anchor_mp-13136,mp-13136,WC,extension,,True,False,0.4476605100000022,0.29411976500000137,0.0004330336000000001,0.0012189888526066887,0.0,0.0004135063,0.0004330336000000001,0.0004330336000000001
extension_WC_poly_mp-1008630,mp-1008630,WC,extension,,True,True,0.8989987500000005,0.7454580049999997,0.0,0.0,0.0,0.0,0.0,0.0
extension_WC_poly_mp-1008635,mp-1008635,WC,extension,,True,True,0.6728768300000034,0.5193360850000026,0.0,0.0,0.0,0.0,0.0,0.0
