compound_id,structure_file,n_sites,n_bonds_icohp,n_bonds_icobi,error,warnings,icohp_n_bonds_used,icohp_coord_bound,icohp_percolation_weight_min,icohp_percolation_direction,icohp_percolation_weight_a,icohp_percolation_status_a,icohp_percolation_weight_b,icohp_percolation_status_b,icohp_percolation_weight_c,icohp_percolation_status_c,icohp_sum,icohp_mean,icohp_min,icohp_max,icobi_n_bonds_used,icobi_coord_bound,icobi_percolation_weight_min,icobi_percolation_direction,icobi_percolation_weight_a,icobi_percolation_status_a,icobi_percolation_weight_b,icobi_percolation_status_b,icobi_percolation_weight_c,icobi_percolation_status_c,icobi_sum,icobi_mean,icobi_min,icobi_max
hull_covalent_Si_mp-149,mp_dataset/structures_conventional_pilot/hull_covalent_Si_mp-149/CONTCAR,8,208,208,,,208,3,0.00101,b,0.00105,ok,0.00101,ok,0.00102,ok,-73.57789,-0.3537398557692307,-4.51873,0.00208,208,3,8e-05,a,8e-05,ok,8e-05,ok,8e-05,ok,15.584710000000015,0.07492649038461546,8e-05,0.92433
hull_ionic_NaCl_mp-22862,mp_dataset/structures_conventional_pilot/hull_ionic_NaCl_mp-22862/CONTCAR,8,152,152,,,152,3,0.00055,a,0.00055,ok,0.00055,ok,0.00055,ok,-16.22608000000001,-0.10675052631578955,-0.59321,-0.00055,152,3,0.00018,a,0.00018,ok,0.00018,ok,0.00018,ok,2.376830000000001,0.015637039473684215,0.00018,0.08536
hull_metallic_AlNi_mp-1487,mp_dataset/structures_conventional_pilot/hull_metallic_AlNi_mp-1487/CONTCAR,2,96,96,,,96,5,0.02932,a,0.02932,ok,0.03299,ok,0.030650000000000004,ok,-22.373670000000015,-0.23305906250000016,-1.83655,-0.0029,96,5,0.01966,a,0.01966,ok,0.01987,ok,0.01966,ok,4.226519999999999,0.04402624999999999,0.00469,0.26599
metastable_covalent_C_rhombohedral_mp-169,mp_dataset/structures_conventional_pilot/metastable_covalent_C_rhombohedral_mp-169/CONTCAR,4,220,220,,,220,5,9e-05,c,0.00033,ok,0.00023,ok,9e-05,ok,-73.20573000000002,-0.33275331818181825,-11.73201,0.04109,220,5,6e-05,b,8e-05,ok,6e-05,ok,7.000000000000001e-05,ok,7.825780000000002,0.03557172727272728,1e-05,1.21702
metastable_ionic_LiBr_mp-23259,mp_dataset/structures_conventional_pilot/metastable_ionic_LiBr_mp-23259/CONTCAR,8,152,152,,,152,3,0.0049,a,0.0049,ok,0.00539,ok,0.00616,ok,-58.58914999999998,-0.3854549342105262,-2.04767,0.00657,152,3,0.00094,a,0.00094,ok,0.00094,ok,0.00094,ok,7.937910000000001,0.052223092105263165,0.00094,0.27889
metastable_metallic_BeCu_mp-2323,mp_dataset/structures_conventional_pilot/metastable_metallic_BeCu_mp-2323/CONTCAR,2,168,168,,,168,5,0.00034,a,0.00034,ok,0.00053,ok,0.0005799999999999999,ok,-22.392959999999988,-0.1332914285714285,-1.93496,0.00102,168,5,0.0009400000000000001,a,0.0009400000000000001,ok,0.0009400000000000001,ok,0.00096,ok,3.6042999999999985,0.021454166666666656,0.00044,0.26873
