compound_id,structure_file,n_sites,n_bonds_icohp,n_bonds_icobi,error,warnings,icohp_n_bonds_used,icohp_coord_bound,icohp_percolation_weight_min,icohp_percolation_direction,icohp_percolation_weight_a,icohp_percolation_status_a,icohp_percolation_weight_b,icohp_percolation_status_b,icohp_percolation_weight_c,icohp_percolation_status_c,icohp_sum,icohp_mean,icohp_min,icohp_max,icobi_n_bonds_used,icobi_coord_bound,icobi_percolation_weight_min,icobi_percolation_direction,icobi_percolation_weight_a,icobi_percolation_status_a,icobi_percolation_weight_b,icobi_percolation_status_b,icobi_percolation_weight_c,icobi_percolation_status_c,icobi_sum,icobi_mean,icobi_min,icobi_max
exp_metastable_Cs2Se_mp-1011696,mp_dataset/structures/exp_metastable_Cs2Se_mp-1011696/CONTCAR,12,120,120,,,120,3,0.0262,a,0.0262,ok,0.05116,ok,0.10127,ok,-34.07225000000002,-0.28393541666666683,-0.85922,-0.02499,120,3,0.00634,a,0.00634,ok,0.0064,ok,0.04171,ok,5.189279999999998,0.043243999999999984,0.0032,0.10205
exp_metastable_CsH_mp-632319,mp_dataset/structures/exp_metastable_CsH_mp-632319/CONTCAR,2,44,44,,,44,3,0.02662,a,0.02662,ok,0.02662,ok,0.02662,ok,-9.796919999999993,-0.22265727272727256,-1.23173,-0.00549,44,3,0.01404,a,0.01404,ok,0.01404,ok,0.01404,ok,1.1167200000000013,0.025380000000000028,0.00225,0.09369
exp_metastable_Cu3Ge_mp-19724,mp_dataset/structures/exp_metastable_Cu3Ge_mp-19724/CONTCAR,8,296,296,,,296,5,0.00053,b,0.0015,ok,0.00053,ok,0.00142,ok,-32.029270000000004,-0.10820699324324326,-1.01279,0.00326,296,5,0.00072,b,0.00235,ok,0.00072,ok,0.00353,ok,6.6215400000000075,0.022370067567567594,0.00036,0.17605
exp_metastable_FeTe2_mp-1102002,mp_dataset/structures/exp_metastable_FeTe2_mp-1102002/CONTCAR,12,288,288,,,288,3,0.00052,a,0.00052,ok,0.00053,ok,0.00052,ok,-63.91213,-0.22191711805555556,-2.09532,0.00028,288,3,0.0006900000000000001,b,0.0007,ok,0.0006900000000000001,ok,0.0006900000000000001,ok,18.050179999999997,0.0626742361111111,0.00034,0.48885
exp_metastable_Ge4Rh_mp-1104286,mp_dataset/structures/exp_metastable_Ge4Rh_mp-1104286/CONTCAR,15,371,371,,,371,3,0.00208,a,0.00208,ok,0.00208,ok,0.00522,ok,-126.23488000000006,-0.34025574123989233,-3.59771,0.00846,371,3,0.00516,a,0.00516,ok,0.00516,ok,0.00916,ok,25.155179999999984,0.06780371967654981,0.00122,0.64664
exp_metastable_GeSe2_mp-10074,mp_dataset/structures/exp_metastable_GeSe2_mp-10074/CONTCAR,6,104,104,,,104,5,4e-05,a,4e-05,ok,5e-05,ok,0.00336,ok,-41.318490000000004,-0.39729317307692313,-4.96902,0.00119,104,5,5e-05,b,6e-05,ok,5e-05,ok,0.00258,ok,8.40343,0.08080221153846154,5e-05,0.90134
exp_metastable_H2O_mp-2739191,mp_dataset/structures/exp_metastable_H2O_mp-2739191/CONTCAR,12,688,688,,,688,5,0.0,a,0.0,ok,0.0,ok,0.0,ok,-76.69105000000008,-0.11146954941860476,-8.01825,0.00237,688,5,0.0,a,0.0,ok,0.0,ok,0.0,ok,7.790029999999994,0.011322718023255804,0.0,0.69893
exp_metastable_H3N_mp-643432,mp_dataset/structures/exp_metastable_H3N_mp-643432/CONTCAR,16,1028,1028,,,1028,5,0.0,a,0.0,ok,0.0,ok,0.0,ok,-102.10825999999997,-0.09932710116731515,-8.16313,0.00217,1028,5,0.0,a,0.0,ok,0.0,ok,0.0,ok,11.496849999999952,0.011183706225680887,0.0,0.89366
exp_metastable_HI_mp-697025,mp_dataset/structures/exp_metastable_HI_mp-697025/CONTCAR,16,236,236,,,236,3,0.0,a,0.0,ok,0.0,ok,0.0,ok,-44.56403,-0.18883063559322036,-5.15403,0.0001,236,3,0.0,a,0.0,ok,0.0,ok,0.0,ok,8.510029999999997,0.03605944915254236,0.0,0.92656
exp_metastable_IF7_mp-27988,mp_dataset/structures/exp_metastable_IF7_mp-27988/CONTCAR,16,520,520,,,520,5,0.0,a,0.0,ok,0.0,ok,0.0,ok,-80.3580800000002,-0.15453476923076961,-6.12565,0.05651,520,5,1e-05,a,1e-05,ok,1e-05,ok,2e-05,ok,9.479359999999948,0.018229538461538363,0.0,0.56187
exp_metastable_In3Ir_mp-630976,mp_dataset/structures/exp_metastable_In3Ir_mp-630976/CONTCAR,16,318,318,,,318,3,0.00204,c,0.00212,ok,0.00218,ok,0.00204,ok,-167.64026000000004,-0.5271706289308178,-4.10313,0.00038,318,3,0.00536,b,0.00537,ok,0.00536,ok,0.00537,ok,30.355129999999992,0.09545638364779872,0.00244,0.70687
exp_metastable_InCl_mp-571636,mp_dataset/structures/exp_metastable_InCl_mp-571636/CONTCAR,4,54,54,,,54,3,0.0085,b,0.00984,ok,0.0085,ok,0.027460000000000002,ok,-15.428219999999998,-0.2857077777777777,-1.96844,-0.00107,54,3,0.00308,b,0.00366,ok,0.00308,ok,0.01072,ok,3.190400000000001,0.0590814814814815,0.00045,0.3723
exp_metastable_K2S_mp-559278,mp_dataset/structures/exp_metastable_K2S_mp-559278/CONTCAR,6,84,84,,,84,3,0.01071,b,0.01075,ok,0.01071,ok,0.06795999999999999,ok,-14.725430000000003,-0.17530273809523814,-0.48968,-0.01071,84,3,0.00064,b,0.00065,ok,0.00064,ok,0.004189999999999999,ok,2.511600000000001,0.02990000000000001,0.00064,0.10413
