compound_id,structure_file,n_sites,n_bonds_icohp,n_bonds_icobi,error,warnings,icohp_n_bonds_used,icohp_coord_bound,icohp_percolation_weight_min,icohp_percolation_direction,icohp_percolation_weight_a,icohp_percolation_status_a,icohp_percolation_weight_b,icohp_percolation_status_b,icohp_percolation_weight_c,icohp_percolation_status_c,icohp_sum,icohp_mean,icohp_min,icohp_max,icobi_n_bonds_used,icobi_coord_bound,icobi_percolation_weight_min,icobi_percolation_direction,icobi_percolation_weight_a,icobi_percolation_status_a,icobi_percolation_weight_b,icobi_percolation_status_b,icobi_percolation_weight_c,icobi_percolation_status_c,icobi_sum,icobi_mean,icobi_min,icobi_max
hull_covalent_Si_mp-149,mp_dataset/structures_primitive_pilot_v2/hull_covalent_Si_mp-149/CONTCAR,2,64,64,,,64,5,0.00318,c,0.0032300000000000002,ok,0.00324,ok,0.00318,ok,-18.606650000000002,-0.29072890625000003,-4.54442,0.00177,64,5,0.00117,c,0.0012000000000000001,ok,0.00119,ok,0.00117,ok,3.9409999999999985,0.06157812499999998,8e-05,0.92437
hull_ionic_NaCl_mp-22862,mp_dataset/structures_primitive_pilot_v2/hull_ionic_NaCl_mp-22862/CONTCAR,2,50,50,,,50,5,0.03088,b,0.03095,ok,0.03088,ok,0.03096,ok,-4.448189999999999,-0.08896379999999998,-0.59716,-0.0004,50,5,0.00239,b,0.0024,ok,0.00239,ok,0.0024,ok,0.6577300000000007,0.013154600000000015,0.00018,0.08623
hull_metallic_AlNi_mp-1487,mp_dataset/structures_primitive_pilot_v2/hull_metallic_AlNi_mp-1487/CONTCAR,2,96,96,,,96,5,0.02069,b,0.02123,ok,0.02069,ok,0.02141,ok,-22.765610000000002,-0.23714177083333335,-1.82681,0.00154,96,5,0.01971,c,0.01973,ok,0.019770000000000003,ok,0.01971,ok,4.2251,0.044011458333333336,0.00456,0.26591
metastable_covalent_C_rhombohedral_mp-169,mp_dataset/structures_primitive_pilot_v2/metastable_covalent_C_rhombohedral_mp-169/CONTCAR,2,130,130,,,130,7,0.00027,c,0.00056,ok,0.0005200000000000001,ok,0.00027,ok,-37.384780000000006,-0.2875752307692308,-11.7589,0.03432,130,7,6e-05,b,7.000000000000001e-05,ok,6e-05,ok,9e-05,ok,3.9407000000000014,0.030313076923076936,3e-05,1.21726
metastable_ionic_LiBr_mp-23259,mp_dataset/structures_primitive_pilot_v2/metastable_ionic_LiBr_mp-23259/CONTCAR,2,50,50,,,50,5,0.0988,c,0.09888,ok,0.09888,ok,0.0988,ok,-16.922590000000014,-0.3384518000000003,-2.03995,0.00544,50,5,0.02174,a,0.02174,ok,0.02174,ok,0.02174,ok,2.262449999999998,0.04524899999999996,0.00094,0.279
metastable_metallic_BeCu_mp-2323,mp_dataset/structures_primitive_pilot_v2/metastable_metallic_BeCu_mp-2323/CONTCAR,2,168,168,,,168,5,0.00054,a,0.00054,ok,0.00061,ok,0.00066,ok,-22.36356,-0.13311642857142858,-1.9286,0.00104,168,5,0.0009500000000000001,b,0.00096,ok,0.0009500000000000001,ok,0.00096,ok,3.604349999999996,0.021454464285714264,0.00044,0.26874
